path,type,size_bytes,blob_sha
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/figure_07_architecture/figure_07_bert_sentiment_architecture.py",py,2606,c061a90f9d0980856ab6cb67a7e1105171f34443
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/figure_07_architecture/figure_07_model_provenance.json",json,461,f5b9f2bc3c4b263108e9080275685c6d32504b13
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/figure_08_confusion_matrix/figure_08_bert_sentiment_confusion.py",py,3327,d661f6430dd550de7218a3d26a84125841130204
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/figure_08_confusion_matrix/figure_08_experiment_provenance.json",json,750,d55fbf882144c3636b5ac3c1524c3935d67ff2cd
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/figure_09_loss_curves/figure_09_bert_sentiment_loss_curves.py",py,3423,5b87b9ce851c173a9f6ae825865d822955098a50
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/figure_09_loss_curves/figure_09_experiment_provenance.json",json,750,d55fbf882144c3636b5ac3c1524c3935d67ff2cd
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/shared_experiment/experiment_provenance.json",json,750,d55fbf882144c3636b5ac3c1524c3935d67ff2cd
"chapters/nlp_part_ii/case_studies/bert_imdb_sentiment/shared_experiment/run_figures_08_09.py",py,5851,6c86f6e51a82f4a81b8c325c35c6b94be94c4ce2
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_10_architecture/figure_10_enterprise_rag_architecture.py",py,4855,08bfd64427b17ea86fa3eecb83aadffef10f4479
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_10_architecture/figure_10_numerical_provenance.json",json,1884,60d128a4a889c60e4061ad53346d9cf5f76b3ef9
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_11_retrieval_curve/figure_11_provenance.json",json,822,fd0da974007c4fb60779d3ae162b275a2e249463
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_11_retrieval_curve/figure_11_retrieval_quality_topk.py",py,4899,cdf363b014c0581b855fdbb9a0492b19f6adb41c
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_12_hallucination_comparison/figure_12_hallucination_reduction_rag.py",py,6166,83033052f28ad42c6f017a1f4dd3c81858f263fe
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_12_hallucination_comparison/figure_12_metrics.json",json,385,95b3faf30fb1fe852c2cc5b7a36a169648468593
"chapters/nlp_part_ii/case_studies/enterprise_rag/figure_12_hallucination_comparison/figure_12_provenance.json",json,769,dfbb5e786c867c42656b0bb67536f10034b1a151
"chapters/nlp_part_ii/figure_generation/generate_figures.py",py,3682,6ee022cf2e87217b40a06c7b4acd956df79455e6
"chapters/nlp_part_ii/interpretability/figure_05_layerwise_representations/figure_05_layerwise_representations.py",py,6835,0eff53b30a02b6d4097524c42bf61a9991709ff1
"chapters/nlp_part_ii/interpretability/figure_05_layerwise_representations/figure_05_model_provenance.json",json,230,7592ab493b42fac8d55cc18d2f59a00cf92b7992
"chapters/nlp_part_ii/interpretability/figure_06_attention_head_specialization/figure_06_attention_head_specialization.py",py,8025,93d3fa0efd4e57491c78be59efad4ba84a8d8dcd
"chapters/nlp_part_ii/interpretability/figure_06_attention_head_specialization/figure_06_model_provenance.json",json,1084,264ed37a3f5a88d33287f9e92ce8e0fcf175f90f
"chapters/nlp_part_ii/production_pass13/rebuild_figures_09_11_12.py",py,4891,913da1373f9d9be834a68e850bacbce7662e92e4
"chapters/nlp_part_ii/production_pass14/generate_closure_figures.py",py,1169,7f910e960d55126110e86895b3060681338c92ae
"chapters/nlp_part_ii/production_pass14/resolve_remaining_figures.py",py,8524,2f9dcb03e89a83c1fd71dc55b0d49e033294d493
"chapters/nlp_part_ii/scaling_laws/figure_01_scaling_laws/figure_01_scaling_laws.py",py,2190,cb0c8268b1d39a06cdd00e0a8f19fb26f01685ee
"chapters/nlp_part_ii/scaling_laws/figure_02_compute_optimal_scaling/figure_02_compute_optimal_scaling.py",py,1878,1356d64c7b7fee258cd05d580848b4bc832b5724
"chapters/nlp_part_ii/tokenization_and_representation/figure_03_bpe/figure_03_bpe.py",py,3909,920f8ad3c010b1fefe9ad2072b38a72f85eb5ff7
"chapters/nlp_part_ii/tokenization_and_representation/figure_04_embedding_geometry/figure_04_embedding_geometry.py",py,10061,3bf015618eef5871a4cf403a0e9a90b1e2c550bd
"chapters/nlp_part_ii/tokenization_and_representation/figure_04_embedding_geometry/figure_04_model_provenance.json",json,287,5b0b2a1aa10edff0936b9483cd554b817e97f91f
